city,country,x3 (McMeal),x9 (milk),x10 (bread),x11 (rice),x12 (eggs),x13 (cheese local),x14 (chicken fillets),x15 (beef round),x16 (apples),x17 (bananas),x18 (oranges),x19 (tomatoes),x20 (potatoes),x21 (onions),x22 (lettuce),x23 (water 1.5L),x28 (One-Way ticket transit),x29 (monthly pass transit),x30 (taxi start),x31 (taxi 1km),x32 (Taxi 1hr wait),x33 (Gas 1L),x34 (Volkswagen Golf),x35 (Toyota Corolla Sedan),x36 (basic utilities),x48 (apartment 1BR city center),x49 (apartment 1BR outside center),x50 (apartment 3BR city center),x51 (apartment 3BR outside center),x52 (price per sqm city center),x53 (price per sqm outside center),x54 (average monthly net salary),data_quality,NaN_tot,food_index,housing_index,transport_index,avg_transit_cost,x31b (taxi 8km),avg_taxi_cost,avg_personal_cost
Seoul,South Korea,6.15,2.2,2.85,3.53,4.04,11.54,10.58,41.61,6.77,3.71,6.5,6.19,3.84,2.92,2.45,1.05,1.0,42.25,2.92,0.92,9.22,1.43,29192.75,27840.35,182.13,742.54,557.52,2669.12,1731.08,22067.7,10971.9,2689.62,1,0,159.9475717439294,293.13605652747935,140.83713605274025,21.625,7.36,6.5,19011.51
Shanghai,China,5.69,2.74,2.61,1.22,2.22,18.35,4.86,13.12,2.26,1.6,2.19,1.53,0.84,1.04,0.83,0.64,0.57,28.47,2.14,0.43,8.54,1.2,19929.68,20750.95,66.0,1091.93,569.88,2952.7,1561.59,17746.11,9416.35,1419.87,1,0,85.18211920529802,251.58222866907823,100.45686904583937,14.52,3.44,4.706666666666666,13560.61
Guangzhou,China,4.98,1.91,1.63,1.03,1.71,9.0,3.77,11.75,2.02,1.44,1.82,1.31,0.74,1.0,0.49,0.51,0.36,28.47,1.71,0.37,6.26,1.19,21353.23,21381.7,59.65,533.28,317.45,1242.24,688.05,12892.82,5427.45,1211.68,1,0,62.23785871964681,159.3709495330172,105.51723644551936,14.415,2.96,3.643333333333333,14245.373333333331
Mumbai,India,3.68,0.75,0.5,0.83,0.95,5.88,3.69,5.95,2.09,0.67,1.34,0.59,0.44,0.44,0.65,0.35,0.25,4.91,0.31,0.31,1.23,1.35,12281.76,22790.48,43.57,522.4,294.05,1411.12,699.8,6092.45,2777.51,640.81,1,0,39.73509933774835,89.17824427107223,86.54017413321927,2.58,2.48,1.3399999999999999,11691.196666666665
Delhi,India,4.3,0.73,0.5,0.85,1.02,4.36,3.81,5.71,1.79,0.75,1.03,0.61,0.37,0.41,0.7,0.36,0.49,11.67,0.61,0.22,1.23,1.24,12281.76,22940.65,58.07,229.84,135.31,601.02,329.15,2506.73,1036.74,586.46,1,0,37.665562913907294,36.88008320661797,86.92814278785835,6.08,1.76,1.2,11741.216666666667
Dhaka,Bangladesh,4.88,0.83,0.67,0.69,1.32,7.21,3.07,7.19,2.38,1.04,2.18,0.96,0.28,0.49,0.41,0.27,0.41,18.53,0.98,0.39,2.93,1.1,39017.69,29006.57,37.06,142.09,87.79,347.57,208.5,1119.98,571.72,280.73,1,0,46.73013245033114,18.939221060131242,167.86878484181528,9.47,3.12,2.3433333333333333,22675.12
Osaka,Japan,5.36,1.41,1.47,4.92,1.9,11.09,6.93,22.46,4.09,1.85,3.87,6.34,3.31,2.01,1.53,0.98,1.8,88.81,4.95,2.98,29.53,1.24,22707.81,15765.18,128.77,674.96,376.14,1737.21,993.17,8043.38,4825.58,2322.46,1,0,109.71302428256071,126.37050292254963,95.22784000110518,45.305,23.84,19.44,12824.743333333334
Jakarta,Indonesia,3.57,1.3,1.2,0.83,1.71,6.9,3.52,8.49,2.99,1.6,2.13,1.3,1.42,2.05,1.13,0.44,0.23,11.34,0.44,0.29,2.92,0.81,25992.44,28106.01,83.88,505.59,277.43,1172.14,615.04,2632.8,1241.09,509.12,1,0,55.9878587196468,49.16458235896185,133.49476697458456,5.785,2.32,1.8933333333333333,18033.086666666666
Shenzhen,China,4.98,2.23,2.4,1.0,2.13,13.67,4.37,15.56,1.97,1.47,1.81,1.45,1.06,1.16,0.9,0.55,0.57,35.59,1.42,0.37,6.83,1.19,21936.88,20317.59,67.63,738.75,435.07,1682.3,886.16,17898.73,8091.57,1572.22,1,0,78.24227373068435,224.4365214391853,104.35076491028641,18.080000000000002,2.96,3.736666666666667,14085.220000000001
Bangkok,Thailand,5.76,1.65,1.91,1.45,2.0,16.97,3.08,12.16,2.88,1.41,1.93,1.53,1.52,1.27,1.19,0.47,1.27,37.44,1.01,1.18,5.18,1.21,57600.86,26234.16,79.55,594.58,285.95,2044.33,961.21,5534.11,2578.84,629.84,1,0,78.8907284768212,90.96822588698873,206.9288927240891,19.355,9.44,5.21,27945.41
Karachi,Pakistan,3.8,0.8,0.46,1.09,1.14,4.88,2.83,4.02,1.09,0.56,0.83,0.74,0.31,0.46,0.32,0.35,0.22,11.18,0.67,0.16,1.79,1.05,13857.85,18980.66,66.56,113.5,76.65,268.71,170.09,760.64,412.03,166.86,1,0,32.6710816777042,14.069961943968087,81.04634852595593,5.7,1.28,1.2466666666666668,10946.519999999999
Cairo,Egypt,4.07,0.82,0.52,0.73,1.29,3.28,3.96,7.62,1.18,0.66,0.42,0.31,0.34,0.27,0.24,0.22,0.28,13.23,0.41,0.14,1.02,0.4,21061.16,21147.47,26.53,196.83,117.45,400.03,233.92,549.42,380.62,200.4,1,0,35.77538631346579,14.345760853274529,104.16246677708492,6.755,1.12,0.85,14069.676666666666
Sao Paulo,Brazil,6.71,1.29,1.56,1.22,2.28,10.27,4.57,9.71,2.12,1.48,1.07,1.92,1.32,1.31,0.91,0.55,0.84,45.98,1.05,0.77,9.58,1.26,21458.41,27234.36,69.27,567.7,341.37,990.82,687.44,2542.37,1666.86,445.67,1,0,66.62527593818986,51.70913231795352,120.26670593964297,23.41,6.16,5.596666666666667,16231.343333333332
Mexico City,Mexico,6.7,1.32,2.02,1.41,1.97,7.74,6.32,9.43,2.48,1.3,1.45,1.5,1.57,1.44,0.99,0.83,0.31,15.69,1.03,0.52,6.19,1.2,19596.21,19925.13,48.85,766.53,481.56,1480.77,850.84,2769.15,1695.8,718.92,1,0,66.87362030905078,60.95517401615782,97.55654001131812,8.0,4.16,3.7933333333333334,13174.18
Lagos,Nigeria,6.75,3.59,1.37,2.84,2.15,4.88,5.5,5.91,3.15,2.03,1.76,2.77,2.77,1.75,1.34,0.55,0.9,33.77,1.29,2.25,4.5,0.39,18911.68,33770.85,28.27,1406.6,714.57,4929.84,2251.39,746.59,301.12,214.64,1,0,67.75662251655629,78.16345943112523,130.06861916511377,17.335,18.0,7.93,17560.97333333333
Kolkata,India,3.68,0.63,0.37,0.69,0.92,5.04,3.05,6.38,1.88,0.65,1.19,0.64,0.4,0.44,0.37,0.34,0.2,3.93,0.61,0.31,1.23,1.33,12281.76,22528.1,31.81,148.65,84.89,388.92,248.24,1038.75,587.51,532.21,1,0,36.796357615894046,19.045112176047372,85.89105992138498,2.065,2.48,1.4400000000000002,11603.730000000001
Beijing,China,5.69,2.01,2.17,1.25,1.94,13.04,3.95,12.8,2.03,1.89,1.98,1.48,0.88,1.0,0.88,0.64,0.71,42.71,1.99,0.43,11.39,1.2,24200.32,22446.36,55.64,1199.13,673.25,2784.82,1453.74,17761.99,9644.53,1562.35,1,0,73.99282560706403,252.85156641278408,115.21662549418083,21.71,3.44,5.6066666666666665,15549.293333333335
Moscow,Russia,6.4,1.41,0.83,1.87,1.84,13.14,5.61,11.19,1.68,1.31,1.81,2.86,0.8,0.73,1.47,0.85,0.82,38.4,2.56,0.24,8.61,0.85,35200.01,37946.86,145.92,1141.4,664.37,2194.87,1164.92,7750.96,4203.06,1452.41,1,0,74.22737306843268,130.03293469771702,180.57267992178956,19.61,1.92,4.363333333333333,24382.573333333334
Tokyo,Japan,5.21,1.44,1.59,3.41,1.93,15.22,8.3,23.42,7.23,3.18,5.95,5.33,4.45,4.18,1.49,0.99,1.49,74.45,3.5,3.13,25.22,1.24,20102.0,17439.88,171.22,1140.47,662.76,2526.51,1371.4,9144.73,5480.97,2868.8,1,0,128.75275938189847,154.378552454889,92.88086029526767,37.97,25.04,17.919999999999998,12514.373333333335
Manila,Philippines,3.59,1.67,1.24,0.9,1.77,5.33,4.21,6.96,2.7,1.4,3.04,1.45,1.74,1.75,1.35,0.65,0.54,12.04,0.72,0.24,2.15,1.4,23324.66,18370.66,98.89,541.63,278.1,1704.49,712.56,3578.46,2634.92,429.13,1,0,54.842715231788084,71.91746518057597,102.90015635183653,6.289999999999999,1.92,1.5966666666666665,13898.906666666668
New York,United States,10.0,1.26,4.11,8.03,3.93,16.85,17.88,20.57,5.62,2.59,4.98,6.22,4.04,3.73,2.68,2.51,2.75,129.0,4.38,1.86,30.0,1.29,25000.0,23754.86,180.61,3851.51,2347.1,7146.84,4279.34,14784.44,9531.27,5944.31,1,0,158.66445916114793,317.22982514409404,120.69074060643199,65.875,14.88,16.42,16252.050000000001
Istanbul,Turkey,4.29,1.03,0.5,1.67,1.81,6.32,4.18,9.08,0.86,1.72,1.09,0.89,0.61,0.53,0.64,0.31,0.43,32.31,0.54,0.38,3.76,1.31,40249.22,33094.13,68.88,554.82,316.01,1040.98,649.93,2374.69,1191.15,383.04,1,0,49.02041942604857,46.66785662373031,181.02592263124998,16.37,3.04,2.4466666666666668,24448.22
Buenos Aires,Argentina,5.0,0.77,1.29,0.95,1.37,6.54,4.0,6.42,1.36,1.2,0.73,1.41,0.64,0.73,1.06,0.73,0.15,10.0,1.0,0.52,4.78,0.97,26700.0,23229.18,48.19,311.84,225.84,627.35,444.68,2518.29,2074.45,403.51,1,0,47.18543046357617,47.0759064573246,123.21304257516262,5.075,4.16,3.313333333333334,16643.383333333335
Bangalore,India,4.3,0.58,0.57,0.76,0.98,6.54,3.83,6.61,2.38,0.72,1.16,0.46,0.44,0.44,0.57,0.36,0.61,18.42,1.23,0.37,1.23,1.29,14738.11,24236.01,24.93,240.59,145.91,639.32,355.79,1638.59,810.46,969.96,1,0,42.35651214128036,29.03788958855352,96.20218971511795,9.515,2.96,1.8066666666666666,12991.803333333335
Lahore,Pakistan,3.58,0.69,0.67,0.96,1.05,5.72,2.83,3.88,1.2,0.68,0.71,0.67,0.33,0.39,0.27,0.31,0.18,6.71,0.67,0.22,2.12,1.08,13410.82,18871.5,92.43,112.52,70.74,244.49,187.01,465.59,306.08,164.01,1,0,33.02980132450331,11.137847488173861,79.66419631751708,3.445,1.76,1.5166666666666668,10761.133333333333
Chennai,India,4.91,0.61,0.5,0.68,0.85,6.15,3.19,5.8,2.5,0.78,1.35,0.51,0.5,0.45,0.63,0.37,0.31,12.28,1.23,0.25,1.23,1.32,12281.76,24164.54,33.92,180.73,107.59,439.84,259.71,1948.95,690.3,552.68,1,0,41.08719646799118,27.57266081177666,89.9502131151019,6.295,2.0,1.4866666666666666,12149.206666666667
Chengdu,China,5.05,1.97,1.46,1.17,2.15,14.8,6.16,13.33,2.01,1.43,1.39,1.16,0.77,0.83,0.48,0.62,0.43,26.61,1.28,0.28,4.27,1.19,21182.4,20208.69,36.49,438.93,256.24,811.42,448.42,3855.3,2201.05,802.58,1,0,75.57947019867551,60.611366801252316,102.19151595168634,13.52,2.24,2.5966666666666667,13797.426666666666
London,United Kingdom,8.61,1.35,1.25,2.15,2.93,7.92,8.19,12.3,2.59,1.46,2.25,2.87,1.41,1.43,1.04,1.38,3.2,184.5,4.92,2.09,35.42,2.16,29028.0,29001.52,299.36,2417.07,1750.5,4000.78,2832.24,14704.63,8657.28,4033.84,1,0,81.58112582781459,261.0514249735837,143.72579667156594,93.85,16.72,19.02,19343.893333333333
Wuhan,China,5.69,1.72,1.78,0.9,1.73,12.81,4.24,13.53,1.78,1.49,1.57,1.28,0.87,1.21,0.52,0.59,0.43,42.71,1.42,0.28,3.42,1.19,17993.65,15787.15,40.46,350.19,177.94,896.84,373.68,3559.63,2306.15,963.86,1,0,71.34381898454747,58.02840683577614,83.45569134992962,21.57,2.24,2.36,11260.663333333332
Hyderabad,India,5.53,0.74,0.56,0.68,0.89,5.79,3.56,6.79,2.66,0.71,1.31,0.54,0.45,0.41,0.72,0.37,0.55,12.28,0.98,0.31,1.23,1.38,12281.76,23774.8,28.69,173.77,110.68,432.93,276.74,1132.49,629.51,531.45,1,0,43.75000000000001,20.973445129046326,88.98903662303715,6.415,2.48,1.5633333333333332,12019.313333333334
Tehran,Iran,4.98,0.81,0.53,3.72,1.3,4.05,3.19,8.11,1.12,1.38,1.11,0.66,0.6,0.5,0.51,0.3,0.36,16.41,0.5,0.36,3.0,0.72,65000.0,54950.14,21.1,541.33,428.83,1337.72,921.78,2183.1,1280.31,294.97,1,0,45.35044150110375,50.56692416433759,295.957128316556,8.385,2.88,2.1266666666666665,39983.62
Paris,France,10.54,1.24,2.11,2.29,3.67,17.51,13.01,23.13,3.18,2.13,2.85,3.88,2.3,2.26,1.53,0.85,2.0,79.03,5.27,1.92,47.95,2.13,23182.39,28681.63,199.44,1365.19,1004.57,3027.12,2065.93,13043.59,9239.64,2752.34,1,0,127.59381898454747,225.53060411408828,128.2842889839795,40.515,15.36,22.86,17288.716666666667
Nagoya,Japan,5.21,1.51,1.37,3.72,1.81,15.49,9.06,18.61,6.2,2.29,3.96,6.33,4.09,2.26,1.41,0.81,1.79,74.45,3.35,3.35,22.34,1.23,18612.96,22335.55,206.04,844.28,440.51,3190.79,3350.33,3494.13,2009.97,2444.12,1,0,116.07339955849892,101.94505260288047,101.2784439217915,38.120000000000005,26.8,17.496666666666666,13649.913333333332
Ho Chi Minh City,Vietnam,4.08,1.49,1.17,0.93,1.52,10.24,3.42,11.65,3.26,1.05,1.37,1.2,1.31,1.44,1.02,0.51,0.29,5.51,0.51,0.65,2.04,1.11,40795.51,36393.31,74.15,493.77,292.91,1207.45,611.02,4404.92,1947.26,487.51,1,0,62.99668874172186,68.01945203230358,190.44169270474865,2.9,5.2,2.5833333333333335,25729.976666666666
Los Angeles,United States,10.0,1.14,3.8,5.64,3.84,12.63,11.58,17.89,4.15,1.78,3.46,4.23,2.76,2.22,1.79,2.0,1.75,99.5,4.0,1.71,29.19,1.59,25000.0,22886.54,140.05,2527.29,1973.0,4630.53,3599.83,9219.44,6135.43,5456.15,1,0,122.66832229580578,212.57731896648465,118.47088002549783,50.625,13.68,15.623333333333335,15962.710000000001
Lima,Peru,5.22,1.22,1.83,1.11,1.81,6.89,4.99,8.2,1.54,1.02,0.93,0.98,0.74,0.89,0.72,0.72,0.52,15.66,2.61,1.44,6.27,1.31,18274.38,21697.31,71.32,511.24,349.69,954.12,701.14,1962.17,1483.1,489.76,1,0,53.54580573951435,45.43512135679207,98.6745863879667,8.09,11.52,6.8,13324.333333333334
Rio de Janeiro,Brazil,6.71,1.07,1.53,1.19,1.9,8.28,3.72,8.41,1.86,1.22,1.05,1.69,1.09,1.0,0.58,0.55,0.86,48.09,1.15,0.79,11.5,1.38,17243.36,26731.2,93.12,396.55,254.46,795.11,573.98,2116.26,1293.93,363.15,1,0,57.74006622516558,41.59886547384769,108.63795792364365,24.475,6.32,6.323333333333333,14658.646666666667
Tianjin,China,6.41,1.91,1.55,0.95,1.25,14.59,2.96,10.56,1.25,1.37,1.36,1.12,0.74,0.74,0.71,0.67,0.43,15.78,1.64,0.31,6.26,1.2,19217.9,19217.9,76.64,391.48,275.22,1085.46,569.42,5576.09,3558.87,875.36,1,0,66.41832229580575,86.86068991903021,94.88030376364381,8.105,2.48,3.4599999999999995,12812.333333333334
Zhengzhou,China,4.27,1.77,1.71,0.73,1.48,17.79,2.33,10.92,1.0,0.95,0.85,0.89,0.59,0.49,0.33,0.57,0.14,6.26,1.14,0.34,2.56,1.16,21282.05,22231.08,52.99,266.92,163.71,519.6,330.97,2746.29,1783.41,586.03,1,0,64.39017660044152,44.163147632249036,107.37096039695311,3.1999999999999997,2.72,2.14,14504.763333333334
Chicago,United States,10.0,0.84,3.18,3.73,2.98,12.21,10.47,16.15,5.15,1.58,3.15,3.78,1.84,2.08,1.66,2.06,2.5,80.0,3.5,2.11,30.0,1.39,23197.5,24878.12,163.78,1969.12,1452.61,3972.22,2450.0,3498.0,2389.59,4819.49,1,0,111.5618101545254,119.7135969163543,118.89232445201617,41.25,16.88,16.793333333333333,16025.669999999998
Hanoi,Vietnam,5.3,1.36,0.92,1.0,1.49,10.59,3.48,10.5,2.74,1.09,1.52,1.18,0.99,1.19,0.8,0.6,0.29,8.16,0.65,0.49,3.26,1.11,40795.51,32899.31,74.36,329.82,206.7,865.47,458.27,2255.75,1285.06,510.15,1,0,61.74116997792496,41.237510157940434,181.83185738975814,4.225,3.92,2.61,24565.309999999998
Chongqing,China,4.84,1.83,1.36,0.93,1.88,9.73,3.63,12.74,1.71,1.3,1.32,1.07,0.64,1.21,0.47,0.54,0.43,56.94,1.42,0.36,2.73,1.19,21182.4,17054.11,45.92,273.32,167.27,444.93,309.62,2763.72,1850.61,747.36,1,0,62.36203090507727,44.09913095477485,94.48106139658849,28.685,2.88,2.3433333333333333,12745.9
Ahmedabad,India,3.68,0.71,0.54,0.71,1.05,6.21,3.57,6.21,1.91,0.58,1.07,0.6,0.35,0.45,0.77,0.35,0.31,6.14,0.68,0.18,1.54,1.23,15352.2,21109.28,39.47,461.38,393.19,459.7,292.04,1038.45,494.32,433.96,1,0,39.67991169977926,23.93884825712713,89.97152709218639,3.2249999999999996,1.44,1.22,12154.236666666666
Pune,India,4.3,0.74,0.49,0.7,0.95,6.16,3.32,6.02,2.15,0.68,1.28,0.57,0.41,0.41,0.59,0.36,0.37,11.05,0.49,0.31,1.23,1.39,12281.76,21989.65,25.46,219.79,134.73,485.56,312.84,1690.47,977.18,803.85,1,0,40.190397350993386,28.965889654829606,84.58059569605678,5.71,2.48,1.3999999999999997,11424.266666666668
Nanjing,China,4.63,2.23,1.67,1.1,1.86,7.83,3.68,11.7,1.45,1.6,1.99,1.41,1.01,1.2,0.93,0.53,0.57,15.47,1.57,0.43,4.27,1.18,21353.23,20000.85,56.41,506.84,298.98,1174.54,634.96,7231.63,3607.11,1146.18,1,0,61.83774834437086,101.75240006055226,102.07414106399177,8.02,3.44,3.0933333333333333,13785.086666666664
Bogota,Colombia,4.62,0.87,0.99,0.82,1.52,4.02,3.69,5.36,1.95,0.76,0.95,0.92,0.78,0.71,0.55,0.58,0.56,26.22,1.05,1.47,5.24,0.52,12063.45,17420.33,67.58,335.29,260.61,611.61,449.51,1444.09,1169.72,299.87,1,0,40.13520971302429,32.67418749656381,72.81989343998217,13.389999999999999,11.76,6.016666666666667,9828.1
Kuala Lumpur,Malaysia,4.1,1.7,0.83,1.37,1.74,10.02,3.72,9.37,2.61,1.53,2.82,1.43,1.03,0.95,0.9,0.64,0.68,22.79,1.14,1.14,3.76,0.48,35897.44,29522.45,53.07,438.4,281.68,999.84,520.54,2272.27,1200.26,1290.67,1,0,61.754966887417226,43.42635333139024,161.45801417872855,11.735,9.12,4.673333333333333,21806.790000000005
Hong Kong,Hong Kong,5.52,3.11,2.28,2.05,3.41,24.7,9.35,22.82,4.51,2.46,3.66,3.03,2.61,2.6,1.57,1.62,1.54,64.18,3.47,1.22,12.96,2.77,33375.05,32161.41,199.78,2294.53,1649.35,4623.04,3025.76,31427.61,20906.86,2994.43,1,0,131.4845474613687,482.9638817905691,161.88409636877918,32.86000000000001,9.76,8.73,21846.41
Dar es Salaam,Tanzania,6.64,1.03,0.58,0.94,1.93,8.79,3.74,3.92,3.04,1.05,1.06,1.12,0.83,1.08,0.77,0.47,0.28,5.32,1.5,2.14,4.29,1.13,22503.21,6572.37,92.87,333.22,364.59,809.6,761.37,3901.17,6000.86,264.32,1,0,51.034768211920536,92.36235849490015,71.76258203044247,2.8000000000000003,17.12,7.636666666666667,9692.236666666666
Shenyang,China,4.73,1.61,1.2,0.9,1.45,13.88,2.81,13.52,1.39,1.19,1.78,1.49,1.14,0.88,0.74,0.61,0.28,11.39,1.28,0.28,8.54,1.19,20641.45,22814.73,59.83,284.71,156.59,711.77,607.38,2526.8,1376.1,836.83,1,0,68.04635761589405,43.10340802196752,107.25849463129535,5.835,2.24,4.02,14485.789999999999
Santiago,Chile,6.79,1.06,1.33,1.46,2.88,9.74,5.76,10.74,1.68,1.42,1.61,1.82,1.21,1.18,1.05,1.09,0.91,45.27,0.4,1.13,9.0,1.34,15042.44,17815.51,138.18,456.08,434.77,835.52,841.57,2279.57,2272.18,638.03,1,0,70.11589403973511,54.66173211053948,81.20033214280954,23.09,9.04,6.146666666666666,10953.096666666666
Xi'an,China,4.98,1.81,1.11,1.67,1.54,10.63,3.24,8.4,1.32,1.45,1.42,1.14,0.5,0.61,0.78,0.58,0.28,17.08,1.21,0.36,4.27,1.16,17794.35,20878.71,48.49,284.71,185.06,664.32,422.32,2633.56,2277.68,1001.23,1,0,56.81567328918323,49.07548620666542,95.4624911006745,8.68,2.88,2.7866666666666666,12891.406666666668
Riyadh,Saudi Arabia,6.92,1.82,0.85,2.23,2.74,6.78,7.37,12.2,2.13,1.68,1.62,1.99,1.3,1.17,1.01,0.61,1.06,31.92,3.99,1.33,13.3,0.61,23943.26,20843.94,92.83,752.98,486.4,1005.01,761.16,1758.36,1185.43,2215.89,1,0,72.32339955849892,45.50584095696649,110.61413856749354,16.490000000000002,10.64,9.31,14929.269999999999
Hangzhou,China,5.69,2.45,1.93,1.08,1.99,20.51,4.78,14.32,2.06,1.67,1.46,1.2,0.93,1.11,0.7,0.71,0.43,15.66,1.85,0.43,5.77,1.18,21353.23,21206.8,38.07,523.15,320.85,1026.14,727.3,7780.17,4306.23,1079.52,1,0,86.35485651214128,110.87620756164995,105.05360810602124,8.045,3.44,3.686666666666666,14187.07
Miami,United States,10.0,1.15,3.17,5.48,3.92,12.08,16.04,14.84,6.72,1.93,4.86,5.05,3.32,3.17,1.92,1.95,2.5,111.0,3.5,1.55,24.0,1.12,25000.0,24272.73,156.11,2604.55,1910.42,4620.37,3175.0,6516.5,2973.53,4195.86,1,0,131.89845474613688,165.36245866217195,121.90509458324021,56.75,12.4,13.299999999999999,16424.616666666665
Baghdad,Iraq,8.0,1.0,0.78,1.21,1.64,4.29,4.13,9.96,0.85,0.96,0.89,0.61,0.6,0.51,0.73,0.52,0.35,25.2,3.0,2.0,5.02,0.35,13959.79,16831.23,123.31,432.77,251.24,798.0,459.25,2099.93,928.52,520.92,1,0,50.60706401766005,38.35743749524582,76.04683943815962,12.775,16.0,8.006666666666666,10263.79
Madrid,Spain,8.43,0.9,1.09,1.22,2.45,10.67,7.45,11.92,2.16,1.92,1.79,1.92,1.21,1.38,1.06,0.72,1.58,57.48,3.69,1.16,23.18,2.01,26343.63,25404.84,166.08,1056.14,839.48,1813.42,1310.62,5612.64,3720.15,2089.54,1,0,77.66280353200884,109.34447675403814,127.87786795103115,29.529999999999998,9.28,12.049999999999999,17250.16
Khartoum,Sudan,8.0,1.53,0.76,2.12,2.02,6.1,5.73,6.21,4.93,0.78,1.98,2.01,1.52,1.27,0.97,0.59,0.45,20.0,2.0,1.0,9.0,1.13,33000.0,17207.23,41.59,520.0,233.6,842.59,453.67,1160.0,766.67,148.57,1,0,64.1832229580574,30.261963775598204,123.93882789900923,10.225,8.0,6.333333333333333,16736.12
Qingdao,China,4.7,2.04,1.16,0.82,1.37,11.45,4.19,11.58,1.29,1.61,1.37,1.27,0.66,0.54,0.45,0.55,0.43,23.49,1.42,0.28,4.27,1.16,17082.58,16513.16,34.17,306.31,170.01,699.91,322.65,5338.31,2514.94,977.5,1,0,62.15507726269317,70.6917340912908,82.95377679233528,11.959999999999999,2.24,2.643333333333333,11198.966666666667
Dallas,United States,8.0,0.89,3.19,4.14,3.0,10.21,13.17,16.23,4.77,2.02,4.68,4.18,3.55,2.9,1.79,2.27,2.5,96.0,2.8,1.12,25.5,1.14,24190.0,22234.25,170.42,1799.71,1416.26,3498.93,2434.73,3209.07,1968.67,5459.79,1,0,117.25993377483445,109.18827606100112,114.84215075790429,49.25,8.96,12.420000000000002,15475.13
Giza,Egypt,3.26,0.71,0.41,0.57,1.16,2.33,3.65,7.34,1.1,0.64,0.39,0.38,0.3,0.26,0.15,0.22,0.2,12.21,0.31,0.2,1.22,0.38,18314.05,14500.08,41.97,118.53,55.96,195.35,150.58,406.98,228.93,171.51,1,0,31.55353200883002,9.024845249096424,80.98484882124332,6.205,1.6,1.0433333333333332,10938.17
Philadelphia,United States,8.5,1.26,3.57,4.38,3.46,13.21,14.47,14.9,4.99,1.5,4.68,5.49,3.15,2.73,1.97,1.71,2.5,96.0,3.59,3.42,25.0,1.2,23000.0,24642.86,166.22,1886.56,1260.83,3087.5,2141.18,5651.05,2690.98,4897.71,1,0,124.13079470198679,127.16212562482161,117.85487155121844,49.25,27.36,18.650000000000002,15881.353333333333
Nairobi,Kenya,5.91,0.96,0.52,1.55,1.39,11.6,5.88,4.62,2.33,0.91,1.8,0.95,0.91,0.98,0.63,0.76,0.82,32.61,2.24,1.11,2.69,1.18,16714.23,17539.05,28.18,414.88,183.21,979.8,423.08,1415.61,613.08,455.52,1,0,57.53311258278146,30.56110994374817,84.59954145346522,16.715,8.88,4.6033333333333335,11418.153333333334
Guadalajara,Mexico,6.19,1.14,1.89,1.5,1.67,6.34,7.02,10.2,2.51,1.26,1.2,1.27,1.56,1.25,0.89,0.93,0.52,18.05,1.55,0.52,9.54,1.17,14800.3,19003.91,43.29,531.16,359.0,1072.51,776.57,1578.73,845.73,764.19,1,0,64.59713024282561,39.21578816956738,83.46879056501281,9.285,4.16,5.083333333333333,11268.46
Houston,United States,9.0,0.95,3.02,3.34,3.15,11.94,9.11,14.15,4.42,1.25,3.28,3.15,2.21,2.19,1.58,2.12,1.25,40.0,2.95,3.1,30.0,1.03,26000.0,23958.81,173.45,1590.76,1246.59,2941.19,1941.97,2958.88,1733.97,5063.25,1,0,103.28366445916114,94.79597131751595,123.43639529336075,20.625,24.8,19.25,16653.28
Atlanta,United States,8.25,0.88,2.67,4.41,2.86,12.81,10.83,13.32,4.84,1.62,5.13,4.21,3.05,2.4,1.69,1.93,2.5,95.0,2.62,2.17,24.0,1.01,27000.0,21902.38,213.22,1883.81,1540.8,3275.0,2203.08,4122.58,2098.96,4878.17,1,0,111.6169977924945,115.51206940311603,120.95109675706854,48.75,17.36,14.660000000000002,16301.13
Suzhou,China,6.55,2.76,3.56,1.46,3.86,25.15,5.96,19.98,2.87,2.57,3.92,2.0,1.34,1.5,1.4,0.99,0.43,42.71,1.85,0.28,4.27,1.18,23488.55,32563.67,64.83,775.04,512.48,2174.87,1076.72,9490.32,4738.38,925.31,1,0,118.47406181015452,141.835651866764,138.4000899923477,21.57,2.24,2.7866666666666666,18684.466666666664
Toronto,Canada,9.63,2.52,2.54,2.93,2.96,11.48,11.92,13.14,3.2,1.26,3.19,3.36,2.81,2.47,2.3,1.67,2.41,115.62,3.31,1.3,22.98,1.44,20752.19,19623.25,127.96,1728.5,1426.71,2733.4,2302.11,9834.67,7249.17,3249.79,1,0,106.76048565121414,191.31587410254264,99.96477273231865,59.015,10.4,12.229999999999999,13458.96
Singapore,Singapore,5.92,2.59,2.03,2.78,2.81,19.48,8.98,20.2,3.82,2.61,3.8,3.0,2.24,2.16,1.9,1.52,1.48,94.65,2.96,0.74,14.79,2.35,110923.53,99668.1,145.68,2734.54,2015.75,5414.5,3517.55,20752.74,10392.94,4619.45,1,0,118.43267108167773,338.7137467906934,519.7960962858915,48.065000000000005,5.92,7.89,70197.99333333333
